Rk,Player,Age,Pos,Date,Tm,,Opp,,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
201,John Wall\walljo01,25-132,G,2016-01-16,WAS,,BOS,L,1,44,12,25,.480,11,23,.478,1,2,.500,11,13,.846,1,6,7,13,7,1,6,3,36,34.6
202,John Wall\walljo01,25-131,G,2016-01-15,WAS,@,IND,W,1,31,12,21,.571,11,18,.611,1,3,.333,3,5,.600,2,5,7,8,1,0,3,1,28,23.4
203,LeBron James\jamesle01,31-013,F-G,2016-01-12,CLE,@,DAL,W,1,42,9,17,.529,6,11,.545,3,6,.500,6,8,.750,3,7,10,7,2,0,4,2,27,24.2
204,LeBron James\jamesle01,31-011,F-G,2016-01-10,CLE,@,PHI,W,1,37,15,22,.682,12,17,.706,3,5,.600,4,6,.667,0,7,7,9,2,0,2,1,37,34.8
205,Damian Lillard\lillada01,25-179,G,2016-01-10,POR,,OKC,W,1,37,9,18,.500,1,4,.250,8,14,.571,5,6,.833,1,6,7,9,2,0,7,4,31,23.8
206,Russell Westbrook\westbru01,27-057,G,2016-01-08,OKC,@,LAL,W,1,35,11,24,.458,10,20,.500,1,4,.250,13,16,.813,3,9,12,7,1,0,6,1,36,26.7
207,DeMarcus Cousins\couside01,25-147,C-F,2016-01-07,SAC,,LAL,W,1,32,8,12,.667,6,9,.667,2,3,.667,11,13,.846,1,9,10,7,1,1,3,5,29,28.0
208,Draymond Green\greendr01,25-304,F,2016-01-02,GSW,,DEN,W,1,44,10,16,.625,5,7,.714,5,9,.556,4,6,.667,4,13,17,14,4,1,3,4,29,37.6
209,Russell Westbrook\westbru01,27-047,G,2015-12-29,OKC,,MIL,W,1,35,10,22,.455,10,20,.500,0,2,.000,7,8,.875,1,6,7,7,5,0,3,1,27,24.2
210,Nikola Vucevic\vucevni01,25-065,C,2015-12-28,ORL,,NOP,W,1,37,14,21,.667,14,20,.700,0,1,.000,0,1,.000,0,8,8,7,0,0,2,2,28,23.0
211,C.J. McCollum\mccolcj01,24-099,G,2015-12-27,POR,@,SAC,W,1,42,14,28,.500,11,19,.579,3,9,.333,4,5,.800,4,7,11,9,4,1,2,2,35,33.7
212,Russell Westbrook\westbru01,27-045,G,2015-12-27,OKC,,DEN,W,1,38,11,18,.611,9,15,.600,2,3,.667,6,6,1.000,1,8,9,12,1,0,4,0,30,30.3
213,Kevin Durant\duranke01,27-087,F-G,2015-12-25,OKC,,CHI,L,1,42,11,21,.524,10,15,.667,1,6,.167,6,6,1.000,2,7,9,7,1,1,2,1,29,26.4
214,LeBron James\jamesle01,30-352,F-G,2015-12-17,CLE,,OKC,W,1,40,12,27,.444,10,22,.455,2,5,.400,7,8,.875,2,7,9,11,2,0,7,2,33,23.9
215,Reggie Jackson\jacksre01,25-242,G,2015-12-14,DET,,LAC,L,1,39,9,18,.500,7,16,.438,2,2,1.000,14,16,.875,5,6,11,7,1,0,4,3,34,30.2
216,Stephen Curry\curryst01,27-272,G,2015-12-11,GSW,@,BOS,W,1,47,9,27,.333,3,14,.214,6,13,.462,14,14,1.000,3,8,11,8,2,0,8,4,38,25.2
217,James Harden\hardeja01,26-105,G,2015-12-09,HOU,@,WAS,W,1,40,13,23,.565,8,14,.571,5,9,.556,11,12,.917,2,7,9,7,2,2,7,4,42,33.9
218,Stephen Curry\curryst01,27-269,G,2015-12-08,GSW,@,IND,W,1,36,11,23,.478,8,13,.615,3,10,.300,4,6,.667,0,7,7,10,3,0,4,1,29,24.2
219,Blake Griffin\griffbl01,26-264,F,2015-12-05,LAC,,ORL,W,1,39,11,22,.500,11,22,.500,0,0,,6,8,.750,2,11,13,7,0,0,4,0,28,21.8
220,LeBron James\jamesle01,30-339,F-G,2015-12-04,CLE,@,NOP,L,1,45,13,29,.448,12,24,.500,1,5,.200,10,11,.909,2,5,7,8,1,1,5,4,37,25.1
221,John Wall\walljo01,25-087,G,2015-12-02,WAS,,LAL,L,1,36,11,19,.579,8,13,.615,3,6,.500,9,12,.750,1,6,7,11,2,0,5,1,34,30.7
222,James Harden\hardeja01,26-096,G,2015-11-30,HOU,@,DET,L,1,42,6,15,.400,4,11,.364,2,4,.500,15,17,.882,1,8,9,7,2,0,5,4,29,23.5
223,Russell Westbrook\westbru01,27-018,G,2015-11-30,OKC,@,ATL,L,1,36,11,24,.458,10,19,.526,1,5,.200,11,11,1.000,2,9,11,7,2,0,6,3,34,25.4
224,James Harden\hardeja01,26-093,G,2015-11-27,HOU,,PHI,W,1,40,14,28,.500,8,16,.500,6,12,.500,16,20,.800,2,7,9,8,0,0,9,2,50,33.7
225,Jimmy Butler\butleji01,26-067,G-F,2015-11-20,CHI,@,GSW,L,1,39,11,21,.524,9,17,.529,2,4,.500,4,7,.571,2,7,9,7,3,0,1,1,28,26.5
226,Russell Westbrook\westbru01,27-008,G,2015-11-20,OKC,,NYK,L,1,38,11,29,.379,9,19,.474,2,10,.200,10,12,.833,3,4,7,7,4,1,3,4,34,25.6
227,James Harden\hardeja01,26-084,G,2015-11-18,HOU,,POR,W,1,47,11,29,.379,7,14,.500,4,15,.267,19,20,.950,1,7,8,11,5,1,5,2,45,39.1
228,Russell Westbrook\westbru01,27-006,G,2015-11-18,OKC,,NOP,W,1,36,14,25,.560,14,22,.636,0,3,.000,15,20,.750,3,6,9,8,1,1,4,1,43,35.9
229,Danilo Gallinari\gallida01,27-101,F,2015-11-17,DEN,@,NOP,W,1,37,12,19,.632,7,11,.636,5,8,.625,3,4,.750,1,7,8,8,0,0,3,1,32,28.1
230,Brandon Knight\knighbr03,23-349,G,2015-11-16,PHO,,LAL,W,1,41,11,23,.478,8,15,.533,3,8,.375,5,7,.714,3,7,10,15,4,0,2,3,30,33.0
231,Blake Griffin\griffbl01,26-243,F,2015-11-14,LAC,,DET,W,1,42,14,25,.560,14,25,.560,0,0,,6,10,.600,4,4,8,9,2,1,2,4,34,29.9
232,LeBron James\jamesle01,30-315,F-G,2015-11-10,CLE,,UTA,W,1,38,11,19,.579,10,16,.625,1,3,.333,8,12,.667,3,4,7,8,2,0,5,2,31,25.6
