,,,,,,Criteria,Criteria,Criteria,Criteria,Totals,Totals,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Shooting,Shooting,Shooting,Shooting,Shooting,Shooting
Rk,Player,Season▼,Age,Tm,Lg,TRB,AST,PTS,WS,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,STL,BLK,TOV,PF,FG%,2P%,3P%,eFG%,FT%,TS%
10,LeBron James\jamesle01,2014-15,30,CLE,NBA,6.0,7.4,25.3,10.4,69,69,36.1,9.0,18.5,7.3,13.6,1.7,4.9,5.4,7.7,0.7,5.3,1.6,0.7,3.9,2.0,.488,.536,.354,.535,.710,.577
11,Kevin Durant\duranke01,2013-14,25,OKC,NBA,7.4,5.5,32.0,19.2,81,81,38.5,10.5,20.8,8.1,14.8,2.4,6.1,8.7,9.9,0.7,6.7,1.3,0.7,3.5,2.1,.503,.549,.391,.560,.873,.635
12,LeBron James\jamesle01,2013-14,29,MIA,NBA,6.9,6.3,27.1,15.9,77,77,37.7,10.0,17.6,8.5,13.6,1.5,4.0,5.7,7.6,1.1,5.9,1.6,0.3,3.5,1.6,.567,.622,.379,.610,.750,.649
13,LeBron James\jamesle01,2012-13,28,MIA,NBA,8.0,7.3,26.8,19.3,76,76,37.9,10.1,17.8,8.7,14.5,1.4,3.3,5.3,7.0,1.3,6.8,1.7,0.9,3.0,1.4,.565,.602,.406,.603,.753,.640
14,Kobe Bryant\bryanko01,2012-13,34,LAL,NBA,5.6,6.0,27.3,10.9,78,78,38.6,9.5,20.4,7.8,15.2,1.7,5.2,6.7,8.0,0.8,4.7,1.4,0.3,3.7,2.2,.463,.510,.324,.504,.839,.570
15,LeBron James\jamesle01,2011-12,27,MIA,NBA,7.9,6.2,27.1,14.5,62,62,37.5,10.0,18.9,9.1,16.5,0.9,2.4,6.2,8.1,1.5,6.4,1.9,0.8,3.4,1.5,.531,.556,.362,.554,.771,.605
16,LeBron James\jamesle01,2010-11,26,MIA,NBA,7.5,7.0,26.7,15.6,79,79,38.8,9.6,18.8,8.4,15.3,1.2,3.5,6.4,8.4,1.0,6.5,1.6,0.6,3.6,2.1,.510,.552,.330,.541,.759,.594
17,LeBron James\jamesle01,2009-10,25,CLE,NBA,7.3,8.6,29.7,18.5,76,76,39.0,10.1,20.1,8.4,15.0,1.7,5.1,7.8,10.2,0.9,6.4,1.6,1.0,3.4,1.6,.503,.560,.333,.545,.767,.604
18,Kobe Bryant\bryanko01,2009-10,31,LAL,NBA,5.4,5.0,27.0,9.4,73,73,38.8,9.8,21.5,8.5,17.4,1.4,4.1,6.0,7.4,1.1,4.3,1.5,0.3,3.2,2.6,.456,.487,.329,.488,.811,.545
19,LeBron James\jamesle01,2008-09,24,CLE,NBA,7.6,7.2,28.4,20.3,81,81,37.7,9.7,19.9,8.1,15.2,1.6,4.7,7.3,9.4,1.3,6.3,1.7,1.1,3.0,1.7,.489,.535,.344,.530,.780,.591
20,Dwyane Wade\wadedw01,2008-09,27,MIA,NBA,5.0,7.5,30.2,14.7,79,79,38.6,10.8,22.0,9.7,18.5,1.1,3.5,7.5,9.8,1.1,3.9,2.2,1.3,3.4,2.3,.491,.524,.317,.516,.765,.574
21,LeBron James\jamesle01,2007-08,23,CLE,NBA,7.9,7.2,30.0,15.2,75,74,40.4,10.6,21.9,9.1,17.1,1.5,4.8,7.3,10.3,1.8,6.1,1.8,1.1,3.4,2.2,.484,.531,.315,.518,.712,.568
22,Kobe Bryant\bryanko01,2007-08,29,LAL,NBA,6.3,5.4,28.3,13.8,82,82,38.9,9.5,20.6,7.6,15.5,1.8,5.1,7.6,9.0,1.1,5.2,1.8,0.5,3.1,2.8,.459,.490,.361,.503,.840,.576
23,LeBron James\jamesle01,2006-07,22,CLE,NBA,6.7,6.0,27.3,13.7,78,78,40.9,9.9,20.8,8.6,16.8,1.3,4.0,6.3,9.0,1.1,5.7,1.6,0.7,3.2,2.2,.476,.513,.319,.507,.698,.552
24,Kobe Bryant\bryanko01,2006-07,28,LAL,NBA,5.7,5.4,31.6,13.0,77,77,40.8,10.6,22.8,8.8,17.6,1.8,5.2,8.7,10.0,1.0,4.7,1.4,0.5,3.3,2.7,.463,.497,.344,.502,.868,.580
25,LeBron James\jamesle01,2005-06,21,CLE,NBA,7.0,6.6,31.4,16.3,79,79,42.5,11.1,23.1,9.5,18.3,1.6,4.8,7.6,10.3,0.9,6.1,1.6,0.8,3.3,2.3,.480,.518,.335,.515,.738,.568
26,Dwyane Wade\wadedw01,2005-06,24,MIA,NBA,5.7,6.7,27.2,14.4,75,75,38.6,9.3,18.8,9.1,17.8,0.2,1.0,8.4,10.7,1.4,4.3,1.9,0.8,3.6,2.9,.495,.513,.171,.499,.783,.577
27,LeBron James\jamesle01,2004-05,20,CLE,NBA,7.4,7.2,27.2,14.3,80,80,42.4,9.9,21.1,8.6,17.2,1.4,3.9,6.0,8.0,1.4,6.0,2.2,0.7,3.3,1.8,.472,.499,.351,.504,.750,.554
28,Tracy McGrady\mcgratr01,2004-05,25,HOU,NBA,6.2,5.7,25.7,12.0,78,78,40.8,9.2,21.3,7.3,15.7,1.8,5.6,5.5,7.1,0.9,5.3,1.7,0.7,2.6,2.1,.431,.468,.326,.473,.774,.526
